pathway	gene1 gene2
Cellular senescence	PTEN	C05981
Cellular senescence	SIRT1	FOXO3
Cellular senescence	CDKN2A	MDM2
Cellular senescence	RASSF5	MDM2
Cellular senescence	MDM2	TP53
Cellular senescence	TSC1	RHEB
Cellular senescence	RB1	E2F1
Cellular senescence	ATM	SQSTM1
Cellular senescence	ATR	SQSTM1
Cellular senescence	PPP3CA	NFATC1
Cellular senescence	PPP3CA	NFATC1
Cellular senescence	PPP1CA	RB1
Cellular senescence	PPP1CA	RB1
Cellular senescence	TP53	GADD45G
Cellular senescence	SMAD2	CDKN2B
Cellular senescence	ETS1	CDKN2A
Cellular senescence	TP53	CDKN1A
Cellular senescence	GATA4	TRAF3IP2
Cellular senescence	GATA4	IL1A
Cellular senescence	FOXO3	CDKN1A
Cellular senescence	TP53	CDKN1A
Cellular senescence	E2F1	MYBL2
Cellular senescence	E2F1	FOXM1
Cellular senescence	C07909	MTOR
Cellular senescence	HLA-A	KIR2DL1
Cellular senescence	FOXO1	SMAD2
Cellular senescence	CDK4	CCND1
Cellular senescence	CDK2	CCNE1
Cellular senescence	CDK4	CCND1
Cellular senescence	CDK2	CCNE1
Cellular senescence	CDK2	CCNA2
Cellular senescence	CDK1	CCNB3...
Cellular senescence	CDK2	CCNE1
Cellular senescence	CDK4	CCND1
Cellular senescence	MYBL2	LIN54
Cellular senescence	FOXM1	LIN54
Cellular senescence	SLC25A4	VDAC1
Cellular senescence	SLC25A4	PPID
Cellular senescence	MRE11	RAD50
Cellular senescence	RAD50	NBN
Cellular senescence	MRE11	NBN
Cellular senescence	HUS1	RAD1
Cellular senescence	RAD9B...	RAD1
Cellular senescence	RAD9B...	HUS1
Cellular senescence	TRAF3IP2	NFKB1
Cellular senescence	TRAF3IP2	NFKB1
Cellular senescence	IL1A	NFKB1
Cellular senescence	IL1A	NFKB1
Cellular senescence	MTOR	TP53
Cellular senescence	MTOR	TP53
Cellular senescence	PIK3CA	FOXO1
Cellular senescence	PIK3CA	FOXO1
Cellular senescence	SQSTM1	GATA4
Cellular senescence	RASSF5	PPP1CA
Cellular senescence	SIRT1	TP53
Cellular senescence	RRAS2	CDKN2A
Cellular senescence	C16844...	MAP2K3
Cellular senescence	HIPK3	TP53
Cellular senescence	HIPK3	TP53
Cellular senescence	ATM	CHEK2
Cellular senescence	ATM	CHEK2
Progesterone-mediated oocyte maturation	ADCY1	PRKACA
Progesterone-mediated oocyte maturation	PIK3CA	AKT3
Progesterone-mediated oocyte maturation	CCNB1	CDK1
Progesterone-mediated oocyte maturation	PGR	PIK3CA
Progesterone-mediated oocyte maturation	PGR	MAPK14
Progesterone-mediated oocyte maturation	SPDYE2B	CDK1
Progesterone-mediated oocyte maturation	SPDYE2B	CDK2
Progesterone-mediated oocyte maturation	AURKA	CPEB2
Progesterone-mediated oocyte maturation	AURKA	CPEB2
Progesterone-mediated oocyte maturation	MOS	MAP2K1
Progesterone-mediated oocyte maturation	MOS	MAP2K1
Progesterone-mediated oocyte maturation	MAP2K1	MAPK1
Progesterone-mediated oocyte maturation	MAP2K1	MAPK1
Progesterone-mediated oocyte maturation	MAPK1	RPS6KA6
Progesterone-mediated oocyte maturation	MAPK1	RPS6KA6
Progesterone-mediated oocyte maturation	PLK1	CDC25A
Progesterone-mediated oocyte maturation	PLK1	CDC25A
Progesterone-mediated oocyte maturation	RPS6KA6	BUB1
Progesterone-mediated oocyte maturation	RPS6KA6	BUB1
